lens_name,slope_lensing,le_slope_lensing,ue_slope_lensing,slope_ld,slope_ld_err,z_lens,z_source,v_disp,r_ein_pl_kpc,r_ein_sie_kpc,r_eff_dev_kpc,r_eff_sersic_kpc,M_tot_lensing,sigma_tot_lensing,M_tot_ld,sigma_tot_ld
SLACS0959+4416,2.4976975420444107,0.232599984246725,0.19067269903812578,2.14,0.21,0.237,0.531,244,3.652267308284078,3.607742036976715,7.440967951264476,,11.243503864779381,9.50024499676568,11.24030576768264,9.49704689966894
SLACS1016+3859,2.2345017120480684,0.1957998160420722,0.14862519743797975,2.19,0.11,0.168,0.439,247,2.883061382559282,3.1286449169176693,4.190661998807153,,10.988645685695698,9.744080417940005,11.02472553338221,9.780160265626517
SLACS1020+1122,2.145225653404382,0.11817553889742927,0.11195459566018284,2.08,0.12,0.282,0.553,282,4.541100868330102,5.118625116832176,6.7821782798026335,10.016215057003064,11.32412117539118,9.661382772033768,11.372000680006405,9.709262276648992
SLACS1023+4230,1.9485249198715222,0.120495086959169,0.1554959215918188,2.01,0.11,0.191,0.696,242,4.488389362070527,4.486766259324345,5.632323602130562,4.307997160939093,11.155524523483871,9.654149325469215,11.167810453658728,9.666435255644071
SLACS1029+0420,1.430516672625543,0.05985729093532388,0.05282542960445835,2.28,0.1,0.104,0.615,210,1.8082375150568692,1.9283860806723663,2.9784973127216747,1.7528984578968652,10.598085353552126,9.650090928345769,10.705448120061764,9.757453694855407
SLACS1142+1001,2.0349343975016256,0.10070031749738062,0.0968117622590734,1.9,0.23,0.222,0.504,221,3.246795626688475,3.505382255204096,6.8319184769794115,5.479557402441621,11.173373923084322,9.504288572245033,11.206302657639041,9.537217306799752
SLACS1143-0144,2.151379824365401,0.032489928254974654,0.031962725741146336,1.92,0.06,0.106,0.402,269,3.1273309478094333,3.2618251667478417,9.319500476422405,3.8659802770344776,11.397973547789313,9.459188278048563,11.454869830806937,9.516084561066187
SLACS1153+4612,1.7155294032321216,0.09753036851890795,0.08298543434195604,2.28,0.13,0.18,0.875,226,3.12190939027262,3.1868161116883504,3.5206730376747486,,10.713976803686803,9.62072541502162,10.86586996051045,9.772618571845268
SLACS1205+4910,1.9233068657924943,0.08861211970694405,0.0716811843770766,2.16,0.12,0.215,0.481,281,4.252086862216688,4.258070228355617,9.039673681509056,8.598141058975894,11.429659480032647,9.517353973258434,11.424090631972707,9.511785125198493
SLACS1218+0830,2.3520639437170083,0.06291330939709594,0.06612517399104423,1.82,0.11,0.135,0.717,219,2.9128284378290985,3.469541468923136,7.609063359431429,5.896583388244395,11.135966911444102,9.37330451061404,11.259963923912867,9.497301523082804
SLACS1250+0523,1.83623251463841,0.041282700685990825,0.03648477398794148,2.3,0.12,0.232,0.795,252,4.231686928955337,4.179165606633788,6.694061723900139,8.112246473069098,11.149745229822232,9.498365804748047,11.189930583110016,9.538551158035832
SLACS1402+6321,2.0043438930279778,0.12596797193495957,0.1795122452109661,1.97,0.14,0.205,0.481,267,4.5379488487201245,4.541281152563557,9.082562305127114,11.81545841826348,11.45667659831583,9.540259826825167,11.45699677694846,9.540580005457796
SLACS1416+5136,1.9973609146027942,0.008081298880779464,0.0074188131315267025,1.9,0.16,0.299,0.811,240,5.535513401984281,6.08830966093852,6.354950959957724,,11.238939234849108,9.632714827791926,11.252672828318266,9.646448421261084
SLACS1420+6019,1.9410607023461715,0.037546125650140816,0.0418729876286934,2.28,0.07,0.063,0.535,205,1.304224970762974,1.261418086096799,2.4985781320763514,2.5650978360827734,10.592583079851835,9.797197210558325,10.58036608478416,9.78498021549065
SLACS1430+4105,2.0221119142099098,0.007940689817459212,0.008067999752015886,2.06,0.18,0.285,0.575,322,6.364414639383936,6.532241579125605,10.95869475445414,11.455279890123418,11.64693965592026,9.567421995560604,11.66138550213866,9.581867841779005
SLACS1451-0239,2.290254836703657,0.11379196077985165,0.10281761453992733,2.24,0.19,0.125,0.52,223,2.151935718696799,2.330280280280131,5.55682220682185,6.293300980986889,10.93201905076111,9.442366047664144,10.98047348346915,9.490820480372186
SLACS1525+3327,1.917156850924303,0.05322444205981536,0.0574085224853178,1.77,0.2,0.358,0.717,264,6.4637210013438,6.566292435095649,14.536067222730825,10.663925146654352,11.726023021493669,9.401129176053654,11.738783322253385,9.41388947681337
SLACS1627-0053,2.081276360273253,0.08599413699042913,0.08288918912986487,2.33,0.1,0.208,0.524,290,4.139869857128589,4.184597033555844,6.73618059060209,14.667888131298985,11.26842070801429,9.611593264674022,11.29691413209404,9.640086688753772
SLACS1630+4520,1.9580709460145262,0.08115149897690488,0.0929001042356401,1.97,0.09,0.248,0.793,276,6.962266824799342,6.918839553695273,7.618497486091424,6.266960507444424,11.421374998377328,9.657636341220782,11.421863471073793,9.658124813917247
SLACS2238-0754,2.068863133932078,0.07329548478205461,0.09251773442617894,1.79,0.12,0.137,0.713,198,3.071505948714238,3.0769410501338568,5.645096572292824,5.801025318390003,11.0696078372044,9.566265085353772,11.059977350907618,9.55663459905699
SLACS2300+0022,2.550376000437717,0.15529120253970596,0.06698928321584008,2.06,0.13,0.228,0.463,279,4.44938935173113,4.526160572639607,6.679736974137485,4.701628542508241,11.403786483315276,9.754267759840134,11.35057515128396,9.701056427808819
SLACS2303+1422,2.093870047339355,0.03705557924855851,0.03570775462732634,1.86,0.13,0.155,0.517,255,4.372898770090186,4.352252211673209,8.811967440918595,5.970496466822403,11.432334618343441,9.542188850704074,11.43133256612592,9.541186798486553
SLACS2341+0000,2.1227050512183236,0.04716890096780446,0.06263029200606152,1.62,0.12,0.186,0.807,207,4.167912426535073,4.486653383101266,9.81455427553402,6.148017464357997,11.349696179729914,9.365955017618749,11.40519146656544,9.421450304454275
GALLERY0029+2544,2.0490683165461103,0.15186924041146677,0.12018935192160773,2.03,0.27,0.5869,2.4504,241,8.911561630146133,8.866484746909313,9.461994916477849,45.05331870257025,11.425750527335735,9.47378510656594,11.418238305366925,9.46627288459713
GALLERY0201+3228,2.0877276555253577,0.09508668967965161,0.09196924491727643,1.96,0.17,0.3957,2.8209,256,9.144253879093956,9.073905749153166,13.877738204587196,8.095919801628787,11.613402071626945,9.328764690586551,11.594872837601775,9.310235456561381
GALLERY0237-0641,1.9093951703194334,0.10156258232834525,0.17599802804349918,2.32,0.54,0.4859,2.2491,290,3.7226957863476073,3.9071135860748343,6.311491177505501,26.266378673707756,10.864470593221915,9.264206634273203,10.921651780238783,9.32138782129007
GALLERY0742+3341,2.20904934682671,0.08148626732155817,0.0629120248617685,1.98,0.2,0.4936,2.3633,218,7.52381880893688,7.395944628096726,6.486607173822539,7.5092626433009375,11.258539726930627,9.63450453085649,11.16753769327368,9.543502497199542
GALLERY0755+3445,1.7697991363352734,0.05269648503151725,0.08096689716367611,1.72,0.28,0.7224,2.6347,272,14.995910893550496,14.831497400197588,1.9534167307577315,195.4701262874121,10.680824443912,10.09923463776423,10.618305059944616,10.036715253796846
GALLERY0856+2010,2.2279376708696885,0.08980491645548394,0.07755269655321362,2.55,0.23,0.5074,2.2335,334,5.849578525676667,6.0289244592696045,7.074758294040862,4.860409855557047,11.165792839871546,9.466369625926221,11.256473753397843,9.557050539452518
GALLERY0918+5105,2.3801277225571114,0.17997488835485242,0.15862049776036047,2.14,0.26,0.5811,2.403,298,10.836318435825733,10.537092252939471,13.698219928821311,6.6158012115544755,11.736049432368704,9.462721163065865,11.674341042153339,9.4010127728505
GALLERY1110+2808,2.0298813950747694,0.0679071310750452,0.08642883761043318,1.88,0.3,0.733,2.3999,191,6.577914248408722,7.12983843109788,2.910138135141992,6.663546652889554,10.806336414413536,9.878509206265708,10.738925938170349,9.81109873002252
GALLERY1110+3649,2.232252654110382,0.08073944178336934,0.06646499037424558,2.56,0.32,0.5869,2.5024,531,7.618039772825891,7.675464407772241,5.822766102447908,25.223725543799244,11.227589804385989,9.69733111424598,11.369592079603354,9.839333389463345
GALLERY1116+0915,2.2249855523613236,0.17221878098817056,0.16384132807758345,2.23,0.25,0.5501,2.4536,274,5.197496929857945,6.604560993681325,6.09158538252161,35.012817205872174,11.038827293694691,9.469366621967087,11.167972264399445,9.59851159267184
GALLERY1141+2216,2.1274588775414607,0.11291802819963204,0.08888508581790822,2.22,0.26,0.5858,2.7624,285,8.481195450982568,8.395860919621839,4.164875889261228,16.455885241015185,11.09752202254048,9.85831789408588,11.14860342537843,9.909399296923834
GALLERY1201+4743,2.743442574879635,0.21374647774008748,0.04587144076830851,2.09,0.27,0.498,2.1258,239,7.134900672727157,7.187572562419842,11.146828634939247,21.67726761089562,11.486154490876237,9.391851841714145,11.419543724435425,9.325241075273333
GALLERY1226+5457,2.238275024920028,0.10046150556306266,0.07391475748053988,2.06,0.21,0.5869,2.7322,248,9.250748875119967,9.064988136765493,7.410793221297337,14.925882384499326,11.403684302246274,9.66395491106624,11.323509882548304,9.58378049136827
GALLERY2228+1205,2.1992100111677764,0.09928268155758779,0.13916592461732336,2.13,0.28,0.5305,2.8324,255,7.621067924123328,8.058773220391538,5.162651594313329,17.73194730093268,11.160254587353506,9.734508952704628,11.155119913537655,9.729374278888777
GALLERY2342-0120,2.344917240572588,0.08510704435044714,0.0715003604716995,2.3,0.31,0.527,2.2649,274,6.845033178104742,6.964799519789011,8.282464293803148,16.30408998640749,11.32538204698309,9.489062902405777,11.325372020816259,9.489052876238945
