lens_name,slope_ld,slope_ld_err,z_lens,z_source,v_disp,r_ein_sie_kpc,r_eff_dev_kpc,M_tot_ld,sigma_tot_ld
BELLS1545+2748 ,1.92,0.28,0.5218,1.2886,250,7.553541483301902,24.40855140471937,11.887084916828144,9.11200090536
BELLS1601+2138 ,2.12,0.24,0.5435,1.4461,207,5.4813180802972,10.835163647099117,11.353175248887316,9.283504298887056
BELLS1611+1705 ,1.46,0.29,0.4766,1.2109,109,3.449699944583877,15.702082506381787,11.537428707459298,9.145514197411206
BELLS1631+1854 ,1.94,0.17,0.4081,1.0863,272,8.864880330462723,4.024546898492279,11.140629651465893,9.931195666187952
BELLS1637+1439 ,2.19,0.32,0.391,0.8744,208,3.4440658320071527,11.497881316085417,11.242719129841662,9.121483486961047
BELLS2122+0409 ,2.04,0.25,0.6261,1.4517,324,10.769735003941793,16.76806842385874,11.862571228582379,9.413605153599677
BELLS2125+0411 ,2.04,0.18,0.3632,0.9777,247,6.070756529413006,13.608612553434156,11.56367983554414,9.296052136364954
BELLS2303+0037 ,2.21,0.27,0.4582,0.9363,274,5.9350880613289,6.6915208534590525,11.341883301825073,9.690833630355163
LSD0047,1.9,0.05,0.485,3.595,229,8.046549792341976,4.92400808188091,11.005844327012941,9.62120681285937
LSDC0302,1.7,0.05,0.938,2.941,251,9.772132226434657,12.609202872818912,11.540749253027657,9.33937398850616
LSDH1417,1.75,0.05,0.81,3.399,224,10.63130212536024,7.992326420483584,11.284286848751758,9.47894042291054
LSDH1543,1.4,0.2,0.497,2.092,116,2.190462312773269,2.494693189547334,10.098806995184786,9.304772712324004
LSDMG2016,2.0,0.1,1.004,3.26,328,12.505323142876835,5.210551309532014,11.315780264398816,9.882012910690177
